Dataset:UWWTDArt15 Table:Agglomerations Element:bigCityID Type:fixed
"Code","Label","Definition"
"AT006","AT","GRAZ"
"AT007","AT","INNSBRUCK"
"AT014","AT","LINZ"
"AT016","AT","SALZBURG"
"AT022","AT","WIEN"
"ATAG_2-K1931629","AT","Klagenfurt (Worthersee Ost)"
"ATAG_2-K1939997","AT","Villach"
"ATAG_3-11","AT","Raum Schwechat (Schwechat-Mannsworth)"
"ATAG_3-119","AT","Raum Krems (Krems-Weinzierl)"
"ATAG_3-449","AT","Raum Wiener Neustadt (Wiener Neustadt-Lichtenworth)"
"ATAG_3-47","AT","Raum St. Polten (Traismauer-Stollhofen)"
"ATAG_4-41812001","AT","Wels und Umgebung"
"ATAG_7-7930111","AT","Strass/Zillertal (Achental-Inntal-Zillertal)"
"ATAG_8-Hofsteig","AT","Hard (Region Hofsteig)"
"ATAG_8-Hohenems","AT","Hohenems (Region Hohenems)"
"ATAG_8-Meiningen","AT","Meiningen (Region Feldkirch)"
"BE004","BE","ANTWERPEN"
"BE013","BE","BRUGGE"
"BE014","BE","BRUXELLES/BRUSSEL"
"BE015","BE","CHARLEROI"
"BE022","BE","GENT"
"BE034","BE","LIEGE"
"BE044","BE","MONS"
"BE2","BE","OOSTENDE"
"BE310","BE","WAVRE"
"BE324","BE","MOUSCRON"
"BE325","BE","LA LOUVIERE"
"BG003","BG","BURGAS"
"BG013","BG","PLEVEN"
"BG014","BG","PLOVDIV"
"BG016","BG","RUSE"
"BG019","BG","SLIVEN"
"BG020","BG","SOFIYA"
"BG021","BG","STARA ZAGORA"
"BG022","BG","DOBRICH"
"BG023","BG","VARNA"
"CH_CITY_0230","CH","Winterthur"
"CH_CITY_0261","CH","Zürich"
"CH_CITY_0351","CH","Bern"
"CH_CITY_2701","CH","Basel"
"CH_CITY_5586","CH","Lausanne"
"CH_CITY_6621","CH","Geneve"
"CY001","CY","NICOSIA"
"CY005","CY","LIMASSOL"
"CZ003","CZ","BRNO"
"CZ015","CZ","HRADEC KRALOVE"
"CZ029","CZ","LIBEREC"
"CZ039","CZ","OLOMOUC"
"CZ042","CZ","OSTRAVA"
"CZ046","CZ","PLZEN"
"CZ047","CZ","PRAHA"
"DE001","DE","AACHEN"
"DE025","DE","AUGSBURG"
"DE055","DE","BERGISCH GLADBACH"
"DE057","DE","BERLIN"
"DE059","DE","BIELEFELD"
"DE067","DE","BOCHUM"
"DE068","DE","BONN"
"DE072","DE","BOTTROP"
"DE076","DE","BRAUNSCHWEIG"
"DE077","DE","BREMEN"
"DE078","DE","BREMERHAVEN"
"DE093","DE","CHEMNITZ"
"DE098","DE","COTTBUS"
"DE103","DE","DARMSTADT"
"DE109","DE","DESSAU"
"DE119","DE","DORTMUND"
"DE121","DE","DRESDEN"
"DE123","DE","DUISBURG"
"DE126","DE","DUESSELDORF"
"DE144","DE","ERFURT"
"DE147","DE","ERLANGEN"
"DE151","DE","ESSEN"
"DE163","DE","FRANKFURT AM MAIN"
"DE167","DE","FREIBURG IM BREISGAU"
"DE187","DE","GELSENKIRCHEN"
"DE189","DE","GERA"
"DE204","DE","GOETTINGEN"
"DE216","DE","HAGEN"
"DE219","DE","HALLE"
"DE221","DE","HAMBURG"
"DE223","DE","HAMM"
"DE226","DE","HANNOVER"
"DE230","DE","HEIDELBERG"
"DE233","DE","HEILBRONN"
"DE244","DE","HERNE"
"DE250","DE","HILDESHEIM"
"DE267","DE","JENA"
"DE274","DE","KARLSRUHE"
"DE275","DE","KASSEL"
"DE283","DE","KIEL"
"DE287","DE","KOBLENZ"
"DE288","DE","KOELN"
"DE295","DE","KREFELD"
"DE314","DE","LEIPZIG"
"DE319","DE","LEVERKUSEN"
"DE331","DE","LUEBECK"
"DE336","DE","LUDWIGSHAFEN AM RHEIN"
"DE339","DE","MAGDEBURG"
"DE341","DE","MAINZ"
"DE342","DE","MANNHEIM"
"DE361","DE","MOERS"
"DE362","DE","MONCHEN-GLADBACH"
"DE369","DE","MUELHEIM AN DER RUHR"
"DE370","DE","MUENCHEN"
"DE372","DE","MUENSTER"
"DE387","DE","NEUSS"
"DE400","DE","NURNBERG"
"DE402","DE","OBERHAUSEN"
"DE407","DE","OFFENBACH AM MAIN"
"DE409","DE","OLDENBURG"
"DE412","DE","OSNABRUECK"
"DE417","DE","PADERBORN"
"DE423","DE","PFORZHEIM"
"DE431","DE","POTSDAM"
"DE443","DE","RECKLINGHAUSEN"
"DE444","DE","REGENSBURG"
"DE447","DE","REMSCHEID"
"DE461","DE","ROSTOCK"
"DE468","DE","SAARBRUECKEN"
"DE470","DE","SALZGITTER"
"DE490","DE","SCHWERIN"
"DE498","DE","SIEGEN"
"DE503","DE","SOLINGEN"
"DE526","DE","STUTTGART"
"DE538","DE","ULM"
"DE583","DE","WIESBADEN"
"DE591","DE","WITTEN"
"DE596","DE","WOLFSBURG"
"DE600","DE","WUPPERTAL"
"DE602","DE","WUERZBURG"
"DE607","DE","ZWICKAU"
"DEAG_BW1155100000016","DE","Boblingen-Sindelfingen/KW 1"
"DEAG_BW1175100000062","DE","Goppingen"
"DEAG_BW2165100000007","DE","Buhl und Umgebung,Vimbuch"
"DEAG_BW2265100000005","DE","Bergstrasse,Weinheim"
"DEAG_BW2265100000007","DE","Schwetzingen-Ketsch"
"DEAG_BW3355100000005","DE","Konstanz"
"DEAG_BW3365100000001","DE","Wieseverband,Weil am Rhein-Bandlegrund"
"DEAG_BW4165100000066","DE","Tubingen"
"DEAG_BW4365100000025","DE","Mariatal,Ravensburg-Eschach-Langwiese"
"DEAG_BYAB-K0022","DE","Gemeinschaftsklaranlage Bayer. Untermain GmbH"
"DEAG_BYHO-K0002","DE","ZV Sachsische Saale"
"DEAG_BYHO-K0089","DE","Bayreuth"
"DEAG_BYHO-K0180","DE","Kulmbach"
"DEAG_BYIN-K0003","DE","ZV ZENTRALKLAERANLAGE INGOLSTADT"
"DEAG_BYKC-K0001","DE","BAMBERG"
"DEAG_BYKE-K0020","DE","ZV GRUPPENKLAERWERK KEMPTEN S. LAUBEN"
"DEAG_BYKG-K0001","DE","Schweinfurt"
"DEAG_BYM-K0121","DE","AmperVerband"
"DEAG_BYN-K0003","DE","FUERTH"
"DEAG_BYRO-K0001","DE","ROSENHEIM"
"DEAG_HE064350140131","DE","Hanau / Nordwest"
"DEAG_HE065310050471","DE","Giessen / Margaretenhutte/Sudliche Lahns"
"DEAG_HE065340143511","DE","Marburg / Cappel"
"DEAG_HE066310091101","DE","Fulda / Glaserzell"
"DEAG_MV06.06.1 wbu1533","DE","Wismar"
"DEAG_MV52.74.3 wbu2539","DE","Stavenhagen"
"DEAG_NI252006201","DE","Hameln"
"DEAG_NI255023201","DE","Holzminden"
"DEAG_NI352011201","DE","Cuxhaven"
"DEAG_NI355022201","DE","Luneburg"
"DEAG_NI454032201","DE","Lingen"
"DEAG_NI456015201","DE","Nordhorn"
"DEAG_NW1913","DE","Stadt Sankt Augustin"
"DEAG_NW2516","DE","Stadt Lunen"
"DEAG_NW2529","DE","Stadt Kamen"
"DEAG_NW2782","DE","Stadt Minden"
"DEAG_NW2797","DE","Stadt Herford"
"DEAG_NW3013","DE","Stadt Coesfeld"
